Time-stamp,Atmospheric pressure (Bar),Accel_x,Accel_y,Accel_z,Temperature (°C),Unnamed:6,Unnamed:7
-26756.214218,nan,nan,-0.203,0.117,1.032,nan,nan
-26756.233652,nan,nan,-0.203,0.121,1.028,nan,nan
-26756.253087,nan,nan,-0.203,0.121,1.028,nan,nan
-26756.272521,nan,nan,-0.207,0.117,1.036,nan,nan
-26756.291956,nan,nan,-0.203,0.117,1.032,nan,nan
-26756.311391,nan,nan,-0.199,0.117,1.028,nan,nan
-26756.330825,nan,nan,-0.211,0.117,1.032,nan,nan
-26756.35026,nan,nan,-0.203,0.125,1.028,nan,nan
-26756.369694,nan,nan,-0.207,0.121,1.04,nan,nan
-26756.389129,nan,nan,-0.203,0.117,1.036,nan,nan
-26756.408563,nan,nan,-0.207,0.117,1.032,nan,nan
-26756.427998,nan,nan,-0.203,0.117,1.04,nan,nan
-26756.447433,nan,nan,-0.199,0.121,1.028,nan,nan
-26756.466867,nan,nan,-0.203,0.117,1.032,nan,nan
-26756.486302,nan,nan,-0.203,0.121,1.036,nan,nan
-26756.505736,nan,nan,-0.199,0.121,1.036,nan,nan
-26756.525171,nan,nan,-0.203,0.117,1.028,nan,nan
-26756.544605,nan,nan,-0.203,0.121,1.032,nan,nan
-26756.56404,nan,nan,-0.199,0.121,1.032,nan,nan
-26756.583475,nan,nan,-0.203,0.117,1.036,nan,nan
-26756.602909,nan,nan,-0.207,0.117,1.036,nan,nan
-26756.622344,nan,nan,-0.211,0.113,1.032,nan,nan
-26756.641778,nan,nan,-0.199,0.125,1.032,nan,nan
-26756.661213,nan,nan,-0.199,0.125,1.036,nan,nan
-26756.680647,nan,nan,-0.203,0.121,1.032,nan,nan
-26756.700082,nan,nan,-0.203,0.117,1.032,nan,nan
-26756.719517,nan,nan,-0.203,0.121,1.032,nan,nan
-26756.738951,nan,nan,-0.203,0.117,1.036,nan,nan
-26756.758386,nan,nan,-0.207,0.117,1.028,nan,nan
-26756.77782,nan,nan,-0.203,0.121,1.032,nan,nan
-26756.797255,nan,nan,-0.203,0.117,1.032,nan,nan
-26756.816689,nan,nan,-0.199,0.121,1.028,nan,nan
-26756.836124,nan,nan,-0.203,0.121,1.032,nan,nan
-26756.855559,nan,nan,-0.203,0.121,1.032,nan,nan
-26756.874993,nan,nan,-0.203,0.121,1.045,nan,nan
-26756.894428,nan,nan,-0.203,0.121,1.036,nan,nan
-26756.913862,nan,nan,-0.203,0.117,1.036,nan,nan
-26756.933297,nan,nan,-0.199,0.125,1.032,nan,nan
-26756.952731,nan,nan,-0.203,0.121,1.032,nan,nan
-26756.972166,nan,nan,-0.203,0.121,1.032,nan,nan
-26756.991601,nan,nan,-0.203,0.121,1.036,nan,nan
-26757.011035,nan,nan,-0.207,0.117,1.04,nan,nan
-26757.03047,nan,nan,-0.199,0.125,1.032,nan,nan
-26757.049904,nan,nan,-0.203,0.117,1.032,nan,nan
-26757.069339,nan,nan,-0.199,0.121,1.036,nan,nan
-26757.088773,nan,nan,-0.203,0.117,1.032,nan,nan
-26757.108208,nan,nan,-0.203,0.121,1.028,nan,nan
-26757.127643,nan,nan,-0.203,0.117,1.032,nan,nan
-26757.147077,nan,nan,-0.203,0.117,1.036,nan,nan
-26757.166512,nan,nan,-0.203,0.117,1.036,nan,nan
-26757.185946,nan,nan,-0.207,0.121,1.032,nan,nan
-26757.205381,nan,nan,-0.203,0.117,1.032,nan,nan
-26757.224815,nan,nan,-0.203,0.117,1.036,nan,nan
-26757.24425,nan,nan,-0.199,0.121,1.032,nan,nan
-26757.263685,nan,nan,-0.199,0.121,1.036,nan,nan
-26757.283119,nan,nan,-0.203,0.117,1.032,nan,nan
-26757.302554,nan,nan,-0.199,0.121,1.032,nan,nan
-26757.321988,nan,nan,-0.203,0.121,1.036,nan,nan
-26757.341423,nan,nan,-0.199,0.125,1.028,nan,nan
-26757.360857,nan,nan,-0.203,0.121,1.028,nan,nan
-26757.380292,nan,nan,-0.203,0.121,1.036,nan,nan
-26757.399727,nan,nan,-0.203,0.121,1.036,nan,nan
-26757.419161,nan,nan,-0.203,0.121,1.032,nan,nan
-26757.438596,nan,nan,-0.199,0.113,1.036,nan,nan
-26757.45803,nan,nan,-0.199,0.117,1.032,nan,nan
-26757.477465,nan,nan,-0.203,0.117,1.032,nan,nan
-26757.496899,nan,nan,-0.207,0.117,1.036,nan,nan
-26757.516334,nan,nan,-0.199,0.117,1.04,nan,nan
-26757.535769,nan,nan,-0.203,0.121,1.032,nan,nan
-26757.555203,nan,nan,-0.199,0.121,1.036,nan,nan
-26757.574638,nan,nan,-0.199,0.125,1.032,nan,nan
-26757.594072,nan,nan,-0.207,0.117,1.032,nan,nan
-26757.613507,nan,nan,-0.203,0.125,1.032,nan,nan
-26757.632941,nan,nan,-0.203,0.117,1.036,nan,nan
-26757.652376,nan,nan,-0.203,0.117,1.032,nan,nan
-26757.671811,nan,nan,-0.203,0.117,1.032,nan,nan
-26757.691245,nan,nan,-0.203,0.117,1.032,nan,nan
-26757.71068,nan,nan,-0.203,0.121,1.032,nan,nan
-26757.730114,nan,nan,-0.207,0.117,1.032,nan,nan
-26757.749549,nan,nan,-0.203,0.117,1.036,nan,nan
-26757.768983,nan,nan,-0.207,0.117,1.028,nan,nan
-26757.788418,nan,nan,-0.207,0.117,1.032,nan,nan
-26757.807853,nan,nan,-0.207,0.117,1.032,nan,nan
-26757.827287,nan,nan,-0.203,0.113,1.036,nan,nan
-26757.846722,nan,nan,-0.203,0.121,1.032,nan,nan
-26757.866156,nan,nan,-0.203,0.121,1.032,nan,nan
-26757.885591,nan,nan,-0.207,0.125,1.036,nan,nan
-26757.905025,nan,nan,-0.199,0.121,1.032,nan,nan
-26757.92446,nan,nan,-0.203,0.121,1.036,nan,nan
-26757.943895,nan,nan,-0.203,0.121,1.032,nan,nan
-26757.963329,nan,nan,-0.199,0.117,1.032,nan,nan
-26757.982764,nan,nan,-0.203,0.117,1.032,nan,nan
-26758.002198,nan,nan,-0.207,0.117,1.032,nan,nan
