Time-stamp,Atmospheric pressure (Bar),Accel_x,Accel_y,Accel_z,Temperature (°C),Unnamed:6,Unnamed:7
-55726.834915,nan,nan,0.942,-0.051,0.135,nan,nan
-55726.87546,nan,nan,0.942,-0.051,0.131,nan,nan
-55726.916005,nan,nan,0.946,-0.042,0.135,nan,nan
-55726.95655,nan,nan,0.942,-0.051,0.131,nan,nan
-55726.997095,nan,nan,0.946,-0.051,0.131,nan,nan
-55727.03764,nan,nan,0.938,-0.051,0.131,nan,nan
-55727.078185,nan,nan,0.942,-0.051,0.139,nan,nan
-55727.118729,nan,nan,0.942,-0.046,0.139,nan,nan
-55727.159274,nan,nan,0.942,-0.046,0.135,nan,nan
-55727.199819,nan,nan,0.946,-0.046,0.135,nan,nan
-55727.240364,nan,nan,0.942,-0.046,0.131,nan,nan
-55727.280909,nan,nan,0.942,-0.051,0.135,nan,nan
-55727.321454,nan,nan,0.942,-0.051,0.135,nan,nan
-55727.361999,nan,nan,0.946,-0.051,0.131,nan,nan
-55727.402544,nan,nan,0.942,-0.051,0.139,nan,nan
-55727.443089,nan,nan,0.938,-0.046,0.135,nan,nan
-55727.483634,nan,nan,0.938,-0.051,0.135,nan,nan
-55727.524179,nan,nan,0.942,-0.046,0.135,nan,nan
-55727.564724,nan,nan,0.946,-0.046,0.131,nan,nan
-55727.605269,nan,nan,0.946,-0.042,0.135,nan,nan
-55727.645813,nan,nan,0.946,-0.046,0.135,nan,nan
-55727.686358,nan,nan,0.942,-0.046,0.131,nan,nan
-55727.726903,nan,nan,0.942,-0.046,0.135,nan,nan
-55727.767448,nan,nan,0.942,-0.051,0.127,nan,nan
-55727.807993,nan,nan,0.942,-0.051,0.135,nan,nan
-55727.848538,nan,nan,0.938,-0.051,0.135,nan,nan
-55727.889083,nan,nan,0.938,-0.051,0.131,nan,nan
-55727.929628,nan,nan,0.942,-0.046,0.135,nan,nan
-55727.970173,nan,nan,0.942,-0.051,0.135,nan,nan
-55728.010718,nan,nan,0.946,-0.051,0.131,nan,nan
-55728.051263,nan,nan,0.946,-0.046,0.131,nan,nan
-55728.091808,nan,nan,0.946,-0.051,0.135,nan,nan
-55728.132353,nan,nan,0.938,-0.051,0.135,nan,nan
-55728.172897,nan,nan,0.942,-0.046,0.135,nan,nan
-55728.213442,nan,nan,0.934,-0.055,0.135,nan,nan
-55728.253987,nan,nan,0.946,-0.051,0.139,nan,nan
-55728.294532,nan,nan,0.942,-0.046,0.135,nan,nan
-55728.335077,nan,nan,0.938,-0.051,0.135,nan,nan
-55728.375622,nan,nan,0.946,-0.051,0.135,nan,nan
-55728.416167,nan,nan,0.942,-0.051,0.135,nan,nan
-55728.456712,nan,nan,0.946,-0.046,0.135,nan,nan
-55728.497257,nan,nan,0.942,-0.051,0.131,nan,nan
-55728.537802,nan,nan,0.938,-0.051,0.139,nan,nan
-55728.578347,nan,nan,0.946,-0.055,0.127,nan,nan
-55728.618892,nan,nan,0.938,-0.046,0.135,nan,nan
-55728.659437,nan,nan,0.946,-0.051,0.135,nan,nan
-55728.699981,nan,nan,0.938,-0.046,0.131,nan,nan
-55728.740526,nan,nan,0.938,-0.051,0.131,nan,nan
-55728.781071,nan,nan,0.942,-0.046,0.131,nan,nan
-55728.821616,nan,nan,0.942,-0.046,0.135,nan,nan
-55728.862161,nan,nan,0.938,-0.051,0.131,nan,nan
-55728.902706,nan,nan,0.942,-0.046,0.131,nan,nan
-55728.943251,nan,nan,0.942,-0.046,0.135,nan,nan
-55728.983796,nan,nan,0.946,-0.051,0.131,nan,nan
-55729.024341,nan,nan,0.942,-0.051,0.135,nan,nan
-55729.064886,nan,nan,0.946,-0.042,0.131,nan,nan
-55729.105431,nan,nan,0.946,-0.046,0.135,nan,nan
-55729.145976,nan,nan,0.949,-0.042,0.131,nan,nan
-55729.186521,nan,nan,0.942,-0.051,0.131,nan,nan
-55729.227065,nan,nan,0.942,-0.046,0.127,nan,nan
-55729.26761,nan,nan,0.938,-0.051,0.127,nan,nan
-55729.308155,nan,nan,0.946,-0.042,0.131,nan,nan
-55729.3487,nan,nan,0.946,-0.046,0.127,nan,nan
-55729.389245,nan,nan,0.949,-0.046,0.131,nan,nan
-55729.42979,nan,nan,0.942,-0.051,0.135,nan,nan
-55729.470335,nan,nan,0.942,-0.051,0.135,nan,nan
-55729.51088,nan,nan,0.942,-0.055,0.131,nan,nan
-55729.551425,nan,nan,0.938,-0.046,0.131,nan,nan
-55729.59197,nan,nan,0.942,-0.055,0.135,nan,nan
-55729.632515,nan,nan,0.942,-0.051,0.135,nan,nan
-55729.67306,nan,nan,0.942,-0.051,0.139,nan,nan
-55729.713604,nan,nan,0.938,-0.046,0.131,nan,nan
-55729.754149,nan,nan,0.946,-0.046,0.135,nan,nan
-55729.794694,nan,nan,0.942,-0.046,0.127,nan,nan
-55729.835239,nan,nan,0.938,-0.046,0.139,nan,nan
-55729.875784,nan,nan,0.942,-0.042,0.135,nan,nan
-55729.916329,nan,nan,0.946,-0.046,0.135,nan,nan
-55729.956874,nan,nan,0.942,-0.051,0.131,nan,nan
-55729.997419,nan,nan,0.938,-0.046,0.131,nan,nan
-55730.037964,nan,nan,0.946,-0.046,0.131,nan,nan
-55730.078509,nan,nan,0.946,-0.042,0.143,nan,nan
-55730.119054,nan,nan,0.946,-0.051,0.135,nan,nan
-55730.159599,nan,nan,0.942,-0.046,0.131,nan,nan
-55730.200144,nan,nan,0.946,-0.051,0.135,nan,nan
-55730.240688,nan,nan,0.942,-0.051,0.135,nan,nan
-55730.281233,nan,nan,0.946,-0.046,0.139,nan,nan
-55730.321778,nan,nan,0.942,-0.051,0.135,nan,nan
-55730.362323,nan,nan,0.942,-0.051,0.139,nan,nan
-55730.402868,nan,nan,0.946,-0.046,0.131,nan,nan
-55730.443413,nan,nan,0.942,-0.051,0.131,nan,nan
-55730.483958,nan,nan,0.946,-0.051,0.135,nan,nan
-55730.524503,nan,nan,0.946,-0.046,0.131,nan,nan
-55730.565048,nan,nan,0.942,-0.055,0.131,nan,nan
-55730.605593,nan,nan,0.946,-0.051,0.135,nan,nan
-55730.646138,nan,nan,0.949,-0.042,0.139,nan,nan
-55730.686683,nan,nan,0.949,-0.046,0.139,nan,nan
-55730.727228,nan,nan,0.942,-0.051,0.135,nan,nan
-55730.767772,nan,nan,0.946,-0.046,0.131,nan,nan
-55730.808317,nan,nan,0.934,-0.051,0.131,nan,nan
-55730.848862,nan,nan,0.946,-0.046,0.131,nan,nan
-55730.889407,nan,nan,0.938,-0.046,0.127,nan,nan
-55730.929952,nan,nan,0.938,-0.051,0.131,nan,nan
-55730.970497,nan,nan,0.938,-0.042,0.127,nan,nan
-55731.011042,nan,nan,0.942,-0.046,0.131,nan,nan
-55731.051587,nan,nan,0.949,-0.051,0.135,nan,nan
-55731.092132,nan,nan,0.946,-0.051,0.135,nan,nan
-55731.132677,nan,nan,0.938,-0.046,0.135,nan,nan
-55731.173222,nan,nan,0.946,-0.046,0.127,nan,nan
-55731.213767,nan,nan,0.942,-0.051,0.135,nan,nan
-55731.254312,nan,nan,0.938,-0.046,0.135,nan,nan
-55731.294856,nan,nan,0.942,-0.046,0.131,nan,nan
-55731.335401,nan,nan,0.934,-0.051,0.131,nan,nan
